,judul,abstrak,kbk,judul_tokens,abstrak_tokens,stopword_count_judul,stopword_count_abstrak
375,desain aplikasi web gis untuk perokok usia pelajar menggunakan ubiquitos learning,merokok merupakan kebiasaan umum yang dilakukan oleh masyakarat dari orang dewasa hingga anak kecil juga sudah pernah atau mencoba rokok kurangnya kesadaran masyakarat akan bahaya merokok dan pendataan yang kurang maksimal yang membuat masyarakat berfikir hanya sebagian kelompok saja yang merokok kurangnya informasi yang didapat oleh masyarakat serta hak akses yang terbatas akibatnya masyarakat tidak bisa mendapatkan informasi tentang data pelajar perokok cara berhenti merokok dan perbedaan hidup perokok dan tidak perokok maka perlu merancang sebuah sistem informasi kesehatan dan geografis yang dinamis dalam pengolahan data pelajar perokok di kota indonesia yang mampu memberikan informasi bagi masyarakat mampu menampilkan peta dan mampu menyimpan data penelitian ini menghasilkan sebuah system informasi geografis di kota indonesia khususnya kota malang yang berbasis web yang didalamnya terdapat informasi data pelajar perokok serta menu menampilkan data sd smp sma yang valid website ini juga memiliki fitur perbandingan nilai kepada pengguna agar memudahkan penggunaan website ini dengan menggunakan sistem website diharapkan dapat memudahkan pengecekan kesehatan tubuh bagi perokok aktif dan perokok pasif,Teknologi Digital Cerdas (Ubiquitous Computing Technique),desain aplikasi web gis okok usia ajar ubiquitos learning,rokok biasa masyakarat orang dewasa anak coba rokok kurang sadar masyakarat bahaya rokok data maksimal masyarakat berfikir kelompok rokok kurang informasi masyarakat hak akses batas akibat masyarakat informasi data ajar okok henti rokok beda hidup okok okok rancang sistem informasi sehat geografis dinamis olah data ajar okok kota indonesia informasi masyarakat tampil peta simpan data teliti hasil system informasi geografis kota indonesia kota malang bas web dalam informasi data ajar okok menu tampil data sd smp sma valid website milik fitur banding nilai guna mudah guna website sistem website harap mudah kece sehat tubuh okok aktif okok pasif,2,68
385,komparasi model kognitif pemain game chem dungeon menggunakan algoritma c k nearest neighbor multilayer perceptron dan naive bayes,chem dungeon merupakan game pembelajaran yang bertujuan untuk mengetahui senyawa senyawa kimia pemain akan mengumpulkan sejumlah atom yang akan dikombinasikan sehingga membentuk senyawa yang akan digunakan membunuh lawannya kognitif dan daya ingat pemain akan diuji dalam memainkan game ini pada awalnya untuk menguji kognitif dan daya ingat pemain menggunakan ujian tertulis seperti kuis dan kuisoner namun hal tersebut menyebabkan perubahan suasana bermain game yang signifikan untuk mengatasi masalah tersebut dilakukan pemodelan kognitif pemain berdasarkan log permai untuk itu dibutuhkan metode survei dalam rangka mengumpulkan log permai dari berbagai pemain atau partisipan dimana pemain memulai dengan pre test dan mengakhiri dengan post test selisih antara pre test dan post test akan menjadi label sehingga hasil dari survei berupa dataset yang terdiri dari log permai yang memiliki label kognitif dengan menggunakan teknik klasifikasi maka dapat dibangun model prediksi kognitif pemain harapanya jika model ini diterapkan akan mampu memprediksi kognitif pemain secara otomatis dan tidak mengganggu suasana bermain game terdapat beberapa algoritma klasifikasi yang dapat memodelkan kognitif pemain tersebut dalam penelitian ini dilakukan komparasi algoritma c k nearest neighbor multilayer perceptron dan naive bayes yang bertujuan untuk mengetahui algoritma yang paling efektif dan efisien untuk mengetahui kognitif pemain game,Game Technology and Machine Learning Applications,komparasi model kognitif main game chem dungeon algoritma c k nearest neighbor multilayer perceptron naive bayes,chem dungeon game ajar tuju senyawa senyawa kimia main kumpul atom kombinasi bentuk senyawa bunuh lawan kognitif daya main uji main game uji kognitif daya main uji tulis kuis kuisoner sebab ubah suasana main game signifikan atas model kognitif main dasar log permai butuh metode survei rangka kumpul log permai main partisipan mana main pre test post test selisih pre test post test label hasil survei dataset log permai milik label kognitif teknik klasifikasi bangun model prediksi kognitif main harapanya model terap prediksi kognitif main otomatis ganggu suasana main game algoritma klasifikasi model kognitif main teliti komparasi algoritma c k nearest neighbor multilayer perceptron naive bayes tuju algoritma efektif efisien kognitif main game,2,83
389,penghapusan baris dan kolom pertama algoritma damerau levenshtein distance untuk peningkatan kinerja koreksi ejaan bahasa indonesia,kesalahan penulisan merupakan keadaan dimana terjadi kesalahan penulisan susu kata jenis kesalahan penulisan yang biasa terjadi berupa hilangnya satu atau beberapa huruf kelebihan satu atau beberapa huruf tertukarnya posisi huruf pada kata dan tertukarnya satu huruf dengan huruf lain yang berdekatan di keyboard salah satu algoritma yang mampu melakukan koreksi terhadap kesalahan penulisan adalah damerau levenshtein distance algoritma ini menghitung operasi minimum yang dibutuhkan untuk mengubah suatu kata menjadi kata lain atau disebut sebagai jarak edit jenis operasi yang dihitung berupa operasi insertion penambahan karakter deletion penghapusan karakter substitution penggantian karakter dan transposition penukaran posisi dua karakter algoritma damerau levenshtein distance memiliki kekurangan yaitu waktu proses yang terbilang lama peningkatan yang dilakukan untuk mempercepat waktu proses adalah dengan menghapus baris dan kolom pertama koreksi ejaan dilakukan pada cerita dongeng yang diambil dari www dongengceritarakyat com dengan total kata yang dibagi menjadi data proses koreksi dengan algoritma damerau levenshtein distance menemukan kesalahan penulisan koreksi ejaan dengan algoritma damerau levenshtein distance menghasilkan akurasi sebesar dan rata rata waktu detik algoritma damerau levenshtein distance tanpa baris dan kolom pertama memiliki akurasi dan rata rata waktu detik sehingga dapat disimpulkan bahwa penghapusan baris dan kolom pertama pada algoritma damerau levenshtein distance mempercepat waktu proses tanpa mengurangi akurasi algoritma,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),hapus baris kolom algoritma damerau levenshtein distance tingkat kerja koreksi eja bahasa indonesia,salah tulis mana salah tulis susu jenis salah tulis hilang huruf lebih huruf tukar posisi huruf tukar huruf huruf dekat keyboard salah algoritma koreksi salah tulis damerau levenshtein distance algoritma hitung operasi minimum butuh ubah jarak edit jenis operasi hitung operasi insertion tambah karakter deletion hapus karakter substitution ganti karakter transposition tukar posisi karakter algoritma damerau levenshtein distance milik kurang proses bilang tingkat cepat proses hapus baris kolom koreksi eja cerita dongeng ambil www dongengceritarakyat com total bagi data proses koreksi algoritma damerau levenshtein distance temu salah tulis koreksi eja algoritma damerau levenshtein distance hasil akurasi detik algoritma damerau levenshtein distance baris kolom milik akurasi detik simpul hapus baris kolom algoritma damerau levenshtein distance cepat proses kurang akurasi algoritma,3,85
397,implementasi jaringan syaraf tiruan untuk deteksi aktivitas mengepal menggunakan electromyograph emg,penyandang disabilitas di indonesia cukup sedikit banyak juga yang kehilangan bagian tubuh seperti lengan atau kaki mereka sering mengalami kesulitan dalam kehidupan sehari hari orang yang kehilangan lengan akan kesulitan untuk berkegiatan dan orang yang kehilangan kaki akan kesulitan berjalan studi klinis menunjukkan bahwa hilangnya bagian tubuh dapat terjadi karena berbagai alasan seperti amputasi kaki diabetik kecelakaan atau penyakit sinyalelectromyograph emg adalah sinyal biomedis yang dihasilkan dari aktivitas otot kontraksi otot atau relaksasi sinyal yang dihasilkan oleh otot kemudian diperkuat disaring dan akhirnya diperkuat lagi setiap otot memiliki respons sinyal yang berbeda itulah yang akan dipelajari sehingga dapat digunakan untuk mengontrol aktuator pada orang yang diamputasi dapat digunakan sinyal emg ini sehingga dapat menggerakkan aktuator yang dapat dipasang pada anggota tubuh yang hilang berupa prostesis prostesis adalah perangkat medis yang digunakan untuk menggantikan bagian tubuh yang hilang karena prostesis hanyalah sebuah aktuator tentunya dibutuhkan sebuah sistem untuk menggerakkan alat tersebut oleh karena itu dalam penelitian ini akan dibuat sistem untuk deteksi aktivitas mengepal sistem ini akan bekerja dengan mengolah sinyal emg dari otot lengan bawah data yang telah didapatkan kemudian diolah dengan aplikasi matlab dengan metode jaringan syaraf tiruan hasil perhitungan data di matlab kemudian akan diimplementasikan pada arduino o untuk mendeteksi aktivitas mengepal secarareal time,Teknologi Digital Cerdas (Ubiquitous Computing Technique),implementasi jaring syaraf tiru deteksi aktivitas kepal electromyograph emg,sandang disabilitas indonesia hilang tubuh lengan kaki alami sulit hidup hari orang hilang lengan sulit giat orang hilang kaki sulit jalan studi klinis hilang tubuh alas amputasi kaki diabetik celaka sakit sinyalelectromyograph emg sinyal biomedis hasil aktivitas otot kontraksi otot relaksasi sinyal hasil otot kuat saring kuat otot milik respons sinyal beda ajar kontrol aktuator orang amputasi sinyal emg gerak aktuator pasang anggota tubuh hilang prostesis prostesis perangkat medis ganti tubuh hilang prostesis aktuator butuh sistem gerak alat teliti sistem deteksi aktivitas kepal sistem olah sinyal emg otot lengan data dapat olah aplikasi matlab metode jaring syaraf tiru hasil hitung data matlab implementasi arduino deteksi aktivitas kepal secarareal time,2,97
400,prediksi kemegan ranked match game league of legends lol menggunakan metode naïve bayes,league of legends lol merupakan game berbasis tim kompetitif yang terdiri dari pemain setiap tim lol termasuk game dengan genre moba multiplayer online battle arena tujuan game lol untuk menghancurkan turret tim lawan dan sekaligus mempertahankan turret tim banyak faktor yang dapat mempengaruhi tim agar unggul dari tim lawan seperti pemilihan komposisi champion tim yang tepat first kill baron first kill dragon first destroy tower maupun first kill penelitian ini bertujuan untuk memprediksi kemegan ranked match dari game lol menggunakan metode naïve bayes pada teori probabilitas teorema bayes mengaitkan suatu probabilitas dari dua peristiwa acak jadi dengan pembobotan statistik pada setiap variable akan dilakukan prediksi kemegan pada pertandingan tersebut pada penelitian lain naïve bayes juga digunakan untuk memprediksi penyakit jantung dan prediksi kemegan pada game dota data set yang digunakan memiliki variable dan instance dari penelitian ini diharapkan dapat memberikan prediksi hasil pertandingan pada ranked match game lol,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),prediksi megan ranked match game league legends lol metode na ve bayes,league legends lol game bas tim kompetitif main tim lol game genre moba multiplayer online battle arena tuju game lol hancur turret tim lawan tahan turret tim faktor pengaruh tim unggul tim lawan pilih komposisi champion tim first kill baron first kill dragon first destroy tower first kill teliti tuju prediksi megan ranked match game lol metode na ve bayes teori probabilitas teorema bayes kait probabilitas peristiwa acak bobot statistik variable prediksi megan tanding teliti na ve bayes prediksi sakit jantung prediksi megan game dota data set milik variable instance teliti harap prediksi hasil tanding ranked match game lol,2,51
402,pengembangan aplikasi fun learning solar system planet ar berbasis augmented reality dengan metode design sprint,perkembangan teknologi yang semakin maju menambah jumlah pemakai dan penggunaan teknologi itu sendiri termasuk dalam bidang pendidikan proses belajar mengajar pada sekolah juga memerlukan peningkatan cara belajar dengan menggunakan media teknologi inovatif dan interaktif agar dapat meningkatkan ketertarikan dan kreativitas siswa terutama pada jenjang sekolah dasar salah satunya dengan penggunaansmartphoneyang saat ini banyak digunakan oleh anak berusia dini pemanfaatansmartphonesebagai media belajar juga dengan menambahkan penggunaan mediaaugmented realitydapat dilibatkan sehingga proses belajar mengajar menjadi interaktif materi pengenalan sistem tata surya denganaryang menampilkan objek planet secaravisual ddan memiliki animasi dapat dikembangkan untuk meningkatkan ketertarikan dan pemahaman siswa terhadap materi tersebut arsistem tata surya ini dikembangkan menggunakan metode penelitiandesign sprintdengan penggunaanunitydanvuforia sdk serta terdapatflashcardsebagaimarkeruntuk menampilkan objek planet,Teknologi Digital Cerdas (Ubiquitous Computing Technique),kembang aplikasi fun learning solar system planet ar bas augmented reality metode design sprint,kembang teknologi maju tambah pakai guna teknologi bidang didik proses ajar ajar sekolah tingkat ajar media teknologi inovatif interaktif tingkat tari kreativitas siswa jenjang sekolah dasar salah satu penggunaansmartphoneyang anak usia pemanfaatansmartphonesebagai media ajar guna mediaaugmented realitydapat libat proses ajar ajar interaktif materi kenal sistem tata surya denganaryang tampil objek planet secaravisual ddan milik animasi kembang tingkat tari paham siswa materi arsistem tata surya kembang metode penelitiandesign sprintdengan penggunaanunitydanvuforia sdk terdapatflashcardsebagaimarkeruntuk tampil objek planet,1,40
408,algoritmarandom forestuntuk prediksi performa siswa berdasarkan nilai akademik,sekolah menengah kejuruan atau sering disebut smk merupakan lembaga pendidikan yang bertujuan untuk meningkatkan pengetahuan dan keterampilan siswa serta menyiapkan siswa menjadi tenaga kerja tingkat menengah yang terampil inovatif kreatif dan profesional mampu mengembangkan diri sejalan dengan perkembangan ilmu pengetahuan dan teknologi nilai akademik siswa dapat digunakan untuk menentukan atau sebagai acuan performa dari siswa tersebut setelah performa siswa didapatkan maka langkah selanjutnya siswa tersebut akan dikelompokkan berdasarkan performa untuk mendapatkan bimbingan belajar yang tepat sesuai dengan kemampuan dalam menguasai mata pelajaran agar dalam kelulusan ti mendapatkan prestasi yang bagus dan membanggakan pada penelitian akan diimplementasikan salah satu teknik klasifikasi dalam data mining yaitu algoritma random forest untuk mengidentifikasi performa akamik siswa data untuk penelitian ini diperoleh dari nilai raport alumni smkn nglegok dari tahun yaitu nilai rapor semester dan total data yang diperoleh sebanyak instance untuk masing masing mata pelajaran penelitian ini mengunakan metode data mining yaitu random forest untuk memprediksi performa siswa berdasarkan nilai akademik algoritma random forest dipilih karena merupakan metode pembangun decision tree yang mampu membangun beberapa decision tree kemudian memilih yang terbaik hasil dari penilitian yang dilakukan preprocessing dengan oversampling menggunakan metode smote pada klasifikasi dengan algoritma random forest menunjukkan hasil yang cukup baik dengan akurasi sebesar presisi sebesar recall sebesar serta f measure sebesar ,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),algoritmarandom forestuntuk prediksi performa siswa dasar nilai akademik,sekolah tengah juru smk lembaga didik tuju tingkat tahu terampil siswa siswa tenaga kerja tingkat tengah terampil inovatif kreatif profesional kembang jalan kembang ilmu tahu teknologi nilai akademik siswa tentu acu performa siswa performa siswa dapat langkah siswa kelompok dasar performa bimbing ajar sesuai mampu kuasa mata ajar kelulus ti prestasi bagus bangga teliti implementasi salah teknik klasifikasi data mining algoritma random forest identifikasi performa akamik siswa data teliti oleh nilai raport alumni smkn nglegok nilai rapor semester total data oleh instance mata ajar teliti mengunakan metode data mining random forest prediksi performa siswa dasar nilai akademik algoritma random forest pilih metode bangun decision tree bangun decision tree pilih baik hasil penilitian preprocessing oversampling metode smote klasifikasi algoritma random forest hasil akurasi presisi recall f measure,0,84
417,prediksi kelangsungan hidup pasien kanker hepatocellular carcinoma menggunakan algoritma random forest,kanker hati jenis hepatocellular carcinoma hcc menempati urutan ke enam sebagai penyakit kanker yang paling banyak di diagnosa selain itu hcc juga menjadi penyebab kematian ketiga tertinggi di dunia kanker hati jenis ini biasanya terjadi pada pasien yang terkena penyakit hati terutama pasien yang terjangkit penyakit hepatitis b dan c statistik dari world health organization who terdapat kasus setiap tahunnya dari statistik tersebut ditemukan fakta bahwa dari kasus ini berasal dari benua asia dan afrika pega pasien hcc yang dilakukan dokter kebanyakan masih menggunakan bukti medis yang belum tentu cocok di aplikasikan pada pasien yang terjangkit beberapa penelitian telah dilakukan untuk membantu dokter dalam mengambil keputusan menggunakan machine learning dan metode komputasi lainnya untuk menemukan sebuah fakta fakta baru dari data medis yang sudah tersedia akan tetapi penelitian ini terkadang memiliki kendala seperti data medis yang kurang lengkap ataupun heterogenitas antar pasien santos dkk melakukan penelitian prediksi kelangsungan hidup pasien kanker hcc dalam kurun waktu satu tahun menggunakan neural network dan linear regression dengan menggunakan k means clustering dan smote untuk melakukan sampling dataset dan menghasilkan akurasi sebesar namun pada penelitian ini banyaknya fitur pada dataset tidak diperhatikan karena dapat menyebabkan curse of dimensionality serta kelengkapan fitur dataset yang digunakan hanya dari selutuh data penelitian yang lain dilakukan chiu dkk yaitu membuat prediksi kelangsungan hidup pasien hcc dalam kurun waktu satu tiga dan lima tahun dengan menggunakan algoritma neural network pada penelitian ini tipe data dari semua fitur diubah menjadi tipe nominal dan menggunakan proses train test split dan menghasilkan akurasi sebesar namun penggunaan metode train test split dan perubahan tipe data menjadi nominal dapat menyebabkan overfitting model pada penelitian ini akan dilakukan preprocessing dataset yaitu data cleaning menggunakan metode impute knn smote oversampling serta melakukan eliminasi fitur menggunakan metode fitur ranking proses eliminasi fitur akan membantu meningkatkan akurasi dari model klasifikasi yang kan dibuat model klasifikasi yang digunakan dalam penelitian ini adalah random forest,Game Technology and Machine Learning Applications,prediksi langsung hidup pasien kanker hepatocellular carcinoma algoritma random forest,kanker hati jenis hepatocellular carcinoma hcc tempat urut enam sakit kanker diagnosa hcc sebab mati tiga tinggi dunia kanker hati jenis pasien kena sakit hati pasien jangkit sakit hepatitis b c statistik world health organization tahun statistik temu fakta asal benua asia afrika pega pasien hcc dokter banyak bukti medis cocok aplikasi pasien jangkit teliti bantu dokter ambil putus machine learning metode komputasi temu fakta fakta data medis sedia teliti terkadang milik kendala data medis lengkap heterogenitas pasien santos dkk teliti prediksi langsung hidup pasien kanker hcc kurun neural network linear regression k means clustering smote sampling dataset hasil akurasi teliti banyak fitur dataset perhati sebab curse dimensionality lengkap fitur dataset selutuh data teliti chiu dkk prediksi langsung hidup pasien hcc kurun algoritma neural network teliti tipe data fitur ubah tipe nominal proses train test split hasil akurasi guna metode train test split ubah tipe data nominal sebab overfitting model teliti preprocessing dataset data cleaning metode impute knn smote oversampling eliminasi fitur metode fitur ranking proses eliminasi fitur bantu tingkat akurasi model klasifikasi model klasifikasi teliti random forest,1,137
430,desain dan implementasi deteksi lubang jalan untuk self driving car menggunakan convolutional neural network,dalam membangun mobil yang dapat dikendalikan secara otomatis atau dalam kondisi autonomous dibutuhkan sebuah model artificial intelligence ai model ai pada self driving system bergantung pada pendekatan perception untuk sistem dapat mengetahui keadaan sekitar dan memberikan sebuah prediksi yang harus dilakukan saat berkendara dalam situasi autonomous driving hal yang paling utama adalah keselamatan dan kenyama penumpang disaat naik kendaraan otomatis dan hal yang diinginkan untuk masa depan adalah bahwa kendaraan tersebut tidak membutuhkan bantuan sama sekali sehingga terdapat banyak kasus yang perlu dituntaskan misalnya menyelesaikan masalah apabila mobil otomatis melewati lubang jalan kasus tersebut merupakan hal yang harus diselesaikan karena kerusakan jalan di negara indonesia sangatlah banyak dan cukup lama untuk diperbaiki dan tidak layak bagi kendaraan otomatis dijalankan pada jalan seperti itu maka solusi yang akan diterapkan untuk menyelesaikan hal tersebut adalah menggunakan open source driving simulator dan area di simulator memiliki banyak jenis tekstur jalan khususnya jalan rusak atau berlubang agar bisa membangun model ai untuk kendaraan yang dapat menghindari lubang jalan bedasarkan pandangan dan reaksi seorang player saat memainkan game tersebut cara yang dilakukan hal tersebut merupakan metode yang digunakan adalah visual based perception yaitu ai yang diterapkan bedasarkan dari hasil image processing metode yang diterapkan adalah hasil pengolahan citra dan dijadikan sebagai training data untuk membuat model deep learning convolutional neural network cnn hasil model cnn akan dijadikan untuk menilai keputusan yang harus dilakukan pada kendaraan untuk mengimplementasi tujuan pada skripsi ini akan diterapkan menggunakan open source driving simulator,Game Technology and Machine Learning Applications,desain implementasi deteksi lubang jalan self driving car convolutional neural network,bangun mobil kendali otomatis kondisi autonomous butuh model artificial intelligence ai model ai self driving system gantung dekat perception sistem prediksi kendara situasi autonomous driving utama selamat kenyama tumpang saat kendara otomatis kendara butuh bantu tuntas selesai mobil otomatis lewat lubang jalan selesai rusa jalan negara indonesia baik layak kendara otomatis jalan jalan solusi terap selesai open source driving simulator area simulator milik jenis tekstur jalan jalan rusak lubang bangun model ai kendara hindar lubang jalan bedasarkan pandang reaksi player main game metode visual based perception ai terap bedasarkan hasil image processing metode terap hasil olah citra jadi training data model deep learning convolutional neural network cnn hasil model cnn jadi nilai putus kendara implementasi tuju skripsi terap open source driving simulator,3,121
436,klasifikasi kepopuleran berita online menggunakan metode k nearest neighbor,adanya media online saat ini merupakan wujud dari kemajuan teknologi informasi yang berpengaruh terhadap kepopuleran media diantaranya adalah portal berita online kehadiran internet dapat menyediakan banyak informasi dan berita secara cepat sehingga mengalahkan kepopuleran media cetak seperti koran dan majalah kepopuleran berita online dapat dilihat berdasarkan jumlah sharing berita yang tinggi agar berita yang akan diterbitkan berpotensi populer jurnalis perlu memperhatikan karakteristik karakteristik tertentu dalam menyusun berita online berita online yang populer tentunya dapat meningkatkan keuntungan secara fisial bagi pembuat berita online oleh karena itu dalam mengatasi permasalahan ini diperlukan aplikasi yang dapat memprediksi tingkat kepopuleran berita online penelitian ini memilih algoritma k nearest neighbor yang merupakan salah satu metode untuk klasifikasi objek berdasarkan jarak terdekatnya kelebihan dari metode ini adalah tahan terhadap noise yang tinggi dan tingkat keakuratannya tinggi apabila menggunakan data training yang besar metode k nearest neighbor pada penelitian ini menggunakan k sampai k dengan kelas yang terbagi menjadi kelas populer dan tidak populer pengolahan data dilakukan melalui tahap prepocessing dengan menggunakan metode yaitu discretization dan attribute selection pada tahap discretization metode yang digunakan adalah binning sedangkan pada tahap attribute selection menggunakan metode information gain chi square deviation correlation dan uncertainty berdasarkan hasil tahapan tersebut dilakukan pengklasifikasian berita online untuk menentukan tingkat kepopulerannya dengan menggunakan metode k nearest neighbor penelitian yang menggunakan metode k nearest neighbor ini menghasilkan performa terbaik dengan rata rata nilai akurasi presisi dan recall sebesar pada penggunaan metode attribute selection correlation dan k ,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi populer berita online metode k nearest neighbor,media online wujud maju teknologi informasi pengaruh populer media portal berita online hadir internet sedia informasi berita cepat kalah populer media cetak koran majalah populer berita online dasar sharing berita berita terbit potensi populer jurnalis perhati karakteristik karakteristik susun berita online berita online populer tingkat untung fisial buat berita online atas masalah aplikasi prediksi tingkat populer berita online teliti pilih algoritma k nearest neighbor salah metode klasifikasi objek dasar jarak dekat lebih metode tahan noise tingkat akurat data training metode k nearest neighbor teliti k k kelas bagi kelas populer populer olah data tahap prepocessing metode discretization attribute selection tahap discretization metode binning tahap attribute selection metode information gain chi square deviation correlation uncertainty dasar hasil tahap klasifikasi berita online tentu tingkat populer metode k nearest neighbor teliti metode k nearest neighbor hasil performa baik nilai akurasi presisi recall guna metode attribute selection correlation k,1,95
451,analisis rele arus lebih over current relay pada penyulang kv menggunakan software pemodelan studi kasus penyulang rayon sidayu kabupaten gresik,sistem tenaga listrik di indonesia adalah salah satu bentuk nyata pembangu energi dalam pemenuhan kebutuhan sehari hari di bidang industri pertanian perika sampai pada sosial kebutuhan tersebut berjalan secara kontinyu dari suatu daerah ke daerah lain sehingga perlu adanya keandalan sistem tenaga listrik dalam menjaga penyaluran daya secara kontinyu salah satu bagian atau peralatan utama pengaman adalah rele rele dalam sebuah sistem proteksi pada jaringan pendistribusian berguna untuk mendeteksi adanya ganguan yang terjadi setelah mendapatkan informasi adanya gangguan rele akan meberi sinyal untuk mengaktifkan pemutus tenaga agar memisahkan komponen lain dari gangguan tersebut penggunaan rele pengaman diperlukan perhitungan dan evaluasi untuk menentukan seting rele agar bekerja secara optimal hal ini bertujuan untuk menjaga kestabilan system pendistribusian dan keamana komponen pada gardu induk pengoptimalan rele berupa kecepatan sensitfitas dan selektifitas dalam keandalan rele dibutuhkan seting rele yang sesuai dengan gangguan yang sering terjadi pada penyulang seting rele ini harus sesuai dengan standarisasi yang berlaku agar saat rele beroprasi tidak terjadi kegagalan dalam memproteksi komponen komponen penting dalam gardu induk khususnya transformatordalam penelitian ini akan dibahas mengenai gangguan gangguan yang mugkin terjadi pada penyulang serta seting rele pengaman yang mempertimbangkan besarnya arus gangguan dalam keadaan beban penuh,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),analisis rele arus current relay sulang kv software model studi sulang rayon sidayu kabupaten gresik,sistem tenaga listrik indonesia salah bentuk nyata pembangu energi penuh butuh hari bidang industri tani perika sosial butuh jalan kontinyu daerah daerah andal sistem tenaga listrik jaga salur daya kontinyu salah alat utama kam rele rele sistem proteksi jaring distribusi guna deteksi ganguan informasi ganggu rele meberi sinyal aktif putus tenaga pisah komponen ganggu guna rele kam hitung evaluasi tentu ting rele optimal tuju jaga stabil system distribusi keamana komponen gardu induk optimal rele cepat sensitfitas selektifitas andal rele butuh ting rele sesuai ganggu sulang ting rele sesuai standar laku rele beroprasi gagal proteksi komponen komponen gardu induk transformatordalam teliti bahas ganggu ganggu mugkin sulang ting rele kam timbang besar arus ganggu beban penuh,5,81
480,perbandingan metode naive bayes dan k nearest neighbor k nn untuk klasifikasi penyakit ginjal kronis,ginjal merupakan organ penting dalam tubuh manusia yang berfungsi untuk menyaring dan membuang sisa sisa metabolisme ke dalam bentuk urine penyakit ginjal kronis atau chronic kidney disease ckd merupakan salah satu penyakit yang timbul karena penuru kinerja organ ginjal secara perlahan oleh kareya dibutuhkan pencegahan awal dengan memanfaatkan data mining untuk mendiagnosa penyakit ginjal kronis menggunakan teknik klasifikasi metode yang sering digunakan dalam klasifikasi adalah naive bayes dan k nearest neighbor k nn permasalahan yang sering terjadi pada dataset khususnya di bidang kesehatan adalah banyaknya missing value di hampir semua atribut yang ada seperti dataset chronic kidney disease yang digunakan dalam penelitian ini dataset tersebut bersumber dari website uci machine learning repository dengan jumlah missing value sebanyak data dari total data sebanyak dataset ini memiliki jumlah atribut sebanyak dengan rincian atribut bertipe data numerik dan atribut bertipe data nominal berdasarkan spesifikasi dataset tersebut algoritma naive bayes dan k nearest neighbor cocok diterapkan untuk klasifikasi chronic kidney disease algoritma naive bayes mampu mengklasifikasi dataset yang besar dengan tidak membutuhkan parameter yang rumit keunggulan lainnya yaitu masih dapat menghasilkan akurasi yang baik meskipun banyak tedapat missing value dibandingkan metode lainnya sedangkan algoritma k nearest neighbor mampu memberikan akurasi yang cukup baik dalam mengklasifikasi penyakit tangguh terhadap training data yang banyak noisy serta efisien jika memiliki training data yang besar sehingga dalam penelitian ini dilakukan perbandingan terhadap kedua algoritma tersebut kemudian memilih algoritma mana yang paling baik untuk diterapkan pada klasifikasi penyakit ginjal kronis,Game Technology and Machine Learning Applications,banding metode naive bayes k nearest neighbor k nn klasifikasi sakit ginjal kronis,ginjal organ tubuh manusia fungsi nyaring buang sisa sisa metabolisme bentuk urine sakit ginjal kronis chronic kidney disease ckd salah sakit timbul penuru kerja organ ginjal perlahan kareya butuh cegah manfaat data mining mendiagnosa sakit ginjal kronis teknik klasifikasi metode klasifikasi naive bayes k nearest neighbor k nn masalah dataset bidang sehat banyak missing value atribut dataset chronic kidney disease teliti dataset sumber website uci machine learning repository missing value data total data dataset milik atribut rincian atribut tipe data numerik atribut tipe data nominal dasar spesifikasi dataset algoritma naive bayes k nearest neighbor cocok terap klasifikasi chronic kidney disease algoritma naive bayes klasifikasi dataset butuh parameter rumit unggul hasil akurasi tedapat missing value banding metode algoritma k nearest neighbor akurasi klasifikasi sakit tangguh training data noisy efisien milik training data teliti banding algoritma pilih algoritma terap klasifikasi sakit ginjal kronis,2,100
