judul,abstract,kbk
Kategorisasi musik latar game dengan menggunakan kombinasi k-nearest ow neighbors dan agglomerative clustering / Tenty Luay Sari COVER BELUM TERSEDIA laa Informasi Detail Juul Sei : ppc wR Prodi esis eger Yaarg Deskrips Fisk ce Bahasa No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Sad “Een “form vas 3¢-em Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Ws Analisis game populer pada platform steam menggunakan metode k-means own. clustering dan k-nearest neighbor / Tri Ananda Nugrahandika Saputra COVER BELUM TERSEDIA Informasi Detail Juul Sei No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Deskripsi dari hasil klasifikasi
"ow COVER BELUM TERSEDIA wi Prediksi kesuksesan game indie menggunakan decision tree / Marwa Khairunnisa os eanarya caus Sante cue i bars Jean sh sensi g sag! deve orer mergers one ouangar ae 1 menu er oseg Fas. crus wepred siasaa” aust keri abel kar bean ae: de eo nga tora dass seoarye Pagan” ath aut barge este Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek sicss Negeri Valsng, Pembimbing Pernyataan : Tanggungiawad gusta Rachmst tai Versi lain/terkait Lampiran Berkas",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
"msi Pengembangan game edukasi untuk anak autis menggunakan metode ow design thinking / Maharani Nadya Raharjo COVER BELUM TERSEDIA elect cvukenecaue Zee Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek m Sead sive “forevte 2 Pembimbing Te Marana Asha 2, arts 23 Pernyataan : Tanggungiawad ie Versi lain/terkait Lampiran Berkas",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Deskripsi dari hasil klasifikasi
""" Pengaruh diegetic user interface dalam meningkatkan aspek immersion ou pada game bergenre role playing game / Arief Yoga Pangestu cOvER : BELUM TERSEDIA ar nail yang ame 105"" S600 Ub 9a t25- Te pergeun sare gr U2 dideenen | Informasi Detail Juul Sei : ppc SE CIE S95 2541 p Prodi Deskrips Fisk Bahasa No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Sistem rekomendasi pembelian pemain menggunakan algoritma content own. based filtering pada master league game pro evolution soccer 2020 / Dhimas Febri Subhiriyantoni COVER aster . BELUM TERSEDIA [| Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Pembimbing Pernyataan Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
"wi Prediksi poin pemain pada game playerunknown\'s battleground mode solo ow menggunakan algoritma linear regression / Dwiki Bagus Putranto COVER BELUM TERSEDIA wap peer ater ae werertukar stare cuss per thngen 2603"" Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Prediksi pemilihan hero berdasarkan synergy dan counterpick dalam game val online Dota 2 menggunakan algoritma linear regression / Rifki Arditya Pradana COVER BELUM TERSEDIA arty Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek te for Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Prediksi kemenangan tim pada game mobile legend menggunakan atribut ow hero dengan metode k-means clustering pada naive bayes / Mohamad Ridlo Fadli COVER BELUM TERSEDIA P40. ‘oMeane Cuter nas dees’ mene'sp Maen Cunering artak Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Deskripsi dari hasil klasifikasi
"kasi Kualitas buku digital melalui smart behaviour recognising dan algoritma sistem rekomendasi collaborative filtering pada reading teks, game dan AR media / Dicki Dwi Prasetya COVER - BELUM TERSEDIA Sgunsar aeuk ra 2e26""3p2 Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek Sadi te for Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Deskripsi dari hasil klasifikasi
ew COVER BELUM TERSEDIA wi Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok tantangan dalam game flappy bird menggunakan algoritma K-Nearest Nighbor (KNN) / Hidayatul Hasanah y Srdmenagereen pTeer chase mergnss @° rerce'tion ng te sh eas ean cet bsicysha ac Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
"msi Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok own. tantangan dalam game flappy bird menggunakan algoritma Multi Layer Perception (MLP) / M. Iqbal Fathurrozi COVER SFathives goatee Dag BELUM TERSEDIA [| hema pert fr ga #3097 3-0 Seraggs pers ie"" De06""395 55°F « gam Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
"Prediksi pemilihan hero berdasarkan synergy dan counterpick dalam game
online Dota 2 menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"mono
Prediksi kemenangan tim pada game mobile legend menggunakan atribut
hero dengan metode k-means clustering pada naive bayes",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Klasifikasi kualitas buku digital melalui smart behaviour recognising dan
algoritma sistem rekomendasi collaborative filtering pada reading teks,
game dan AR media",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"“eee
Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok
tantangan dalam game flappy bird menggunakan algoritma K-Nearest
Nighbor (KNN}",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Aplikasi Procedural Content Generation (PCG} untuk kategorisasi blok
tantangan dalam game flappy bird menggunakan algoritma Multi Layer
Perception (MLP)",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis klasifikasi terbaik pada algoritma data mining
berbasis bagging",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis k-means clustering untuk ekstraksi stopword list
bahasa jawa",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis iiterasi digital calon guru teknix Komputer dan
Informatika pada masa pandemi covid-19 (studi kasus
mahasiswa 2018 pti - FT Universitas Negeri Malang}",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis klasifikasi terbaik pada algoritma data mining
berbasis bagging",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Sistem penilaian tingkat kesulitan level pada game platformer menggunakan
obstacle matrix",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Sistem penilaian tingkat kesulitan level pada game platformer menggunakan
obstacle matrix",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Desain dan pengembangan permainan amogasakti trading card game
bertema mitologi pewayangan menggunakan game development life cycle",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Sistem penilaian tingkat kesulitan level pada game platformer menggunakan
obstacle matrix",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Kategorisasi musik latar game dengan menggunakan kombinasi k-nearest
neighbors dan agglomerative clustering",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis game populer pada platform steam menggunakan metode k-means
clustering dan k-nearest neighbor",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
Prediksi kesuksesan game indie menggunakan decision tree,Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game edukasi untuk anak autis menggunakan metode
design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"mone
Pengaruh diegetic user interface dalam meningkatkan aspek immersion
pada game bergenre role playing game",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Sistem rekomendasi pembelian pemain menggunakan algoritma content
based filtering pada master league game pro evolution soccer 2020",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"“nee
Prediksi poin pemain pada game playerunknown\'s battleground mode solo
menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Prediksi pemilihan hero berdasarkan synergy dan counterpick dalam game
online Dota 2 menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"mono
Prediksi kemenangan tim pada game mobile legend menggunakan atribut
hero dengan metode k-means clustering pada naive bayes",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Klasifikasi kualitas buku digital melalui smart behaviour recognising dan
algoritma sistem rekomendasi collaborative filtering pada reading teks,
game dan AR media",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"“eee
Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok
tantangan dalam game flappy bird menggunakan algoritma K-Nearest
Nighbor (KNN}",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Aplikasi Procedural Content Generation (PCG} untuk kategorisasi blok
tantangan dalam game flappy bird menggunakan algoritma Multi Layer
Perception (MLP)",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Desain dan pengembangan permainan amogasakti trading card game
bertema mitologi pewayangan menggunakan game development life cycle",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game pengenalan ekspresi wajah manusia untuk anak
autisme menggunakan metode design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
Pengembangan dan implementasi desain ui,Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Sistem rekomendasi pembelian item menggunakan algoritma simple
additive weighting (saw) pada game seal online blade of destiny",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game anatomia untuk anak-anak berbasis android
menggunakan metode design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Analisis Permainan Battle Royale Player Unknown’s Battlegrounds Mobile
{Pubg Mobile) Terkait Faktor-Faktor yang Mempengaruhi Minat Pemain
Berdasarkan Game Design Factors",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Mengukur flow dalam game edukasi penjelajahan kebudayaan Indonesia
berbasis 2d platformer dan augmented reality",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Sistem penilaian tingkat kesulitan level pada game platformer menggunakan
obstacle matrix",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Kategorisasi musik latar game dengan menggunakan kombinasi k-nearest
neighbors dan agglomerative clustering",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis game populer pada platform steam menggunakan metode k-means
clustering dan k-nearest neighbor",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
Prediksi kesuksesan game indie menggunakan decision tree,Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game edukasi untuk anak autis menggunakan metode
design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"mone
Pengaruh diegetic user interface dalam meningkatkan aspek immersion
pada game bergenre role playing game",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Sistem rekomendasi pembelian pemain menggunakan algoritma content
based filtering pada master league game pro evolution soccer 2020",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"“nee
Prediksi poin pemain pada game playerunknown\'s battleground mode solo
menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Prediksi pemilihan hero berdasarkan synergy dan counterpick dalam game
online Dota 2 menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"mono
Prediksi kemenangan tim pada game mobile legend menggunakan atribut
hero dengan metode k-means clustering pada naive bayes",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Klasifikasi kualitas buku digital melalui smart behaviour recognising dan
algoritma sistem rekomendasi collaborative filtering pada reading teks,
game dan AR media",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"“eee
Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok
tantangan dalam game flappy bird menggunakan algoritma K-Nearest
Nighbor (KNN}",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Aplikasi Procedural Content Generation (PCG} untuk kategorisasi blok
tantangan dalam game flappy bird menggunakan algoritma Multi Layer
Perception (MLP)",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Desain dan pengembangan permainan amogasakti trading card game
bertema mitologi pewayangan menggunakan game development life cycle",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game pengenalan ekspresi wajah manusia untuk anak
autisme menggunakan metode design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
Pengembangan dan implementasi desain ui,Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Sistem rekomendasi pembelian item menggunakan algoritma simple
additive weighting (saw) pada game seal online blade of destiny",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game anatomia untuk anak-anak berbasis android
menggunakan metode design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Analisis Permainan Battle Royale Player Unknown’s Battlegrounds Mobile
{Pubg Mobile) Terkait Faktor-Faktor yang Mempengaruhi Minat Pemain
Berdasarkan Game Design Factors",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Mengukur flow dalam game edukasi penjelajahan kebudayaan Indonesia
berbasis 2d platformer dan augmented reality",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis klasifikasi terbaik pada algoritma data mining
berbasis bagging",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis k-means clustering untuk ekstraksi stopword list
bahasa jawa",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis iiterasi digital calon guru teknix Komputer dan
Informatika pada masa pandemi covid-19 (studi kasus
mahasiswa 2018 pti - FT Universitas Negeri Malang}",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis sentimen review hotel menggunakan metode N-
Gram dan Naive Bayes",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Deteksi kemiripan topik skripsi mahasiswa teknik informatika
jurusan Teknik Elektro Universitas Negeri Malang
menggunakan agglomerative hierarchical clustering",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Hubungan antara literasi belajar TIK dan pola belajar TIK
teradap kompetensi belajar TIK di kelas pada siswa kelas X
Jurusan TIK SMKN Pasuruan",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Implementasi algoritma K-Means clustering pada rekam
medis penyakit liver",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Implementasi algoritma K-Nearest Neighbors (KNN} pada
pola Klasifikasi penyakit tahunan di Kota Malang",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Implementasi metode exponential smoothing untuk
peramalan harga pangan tingkat provinsi di Pulau Jawa",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Implementasi metode K-Nearest Neighbor untuk klasifikasi
nilai ujfan nasional berdasarkan nilai rapor",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Implementasi metode trend projection pada prediksi nilai
tukar petani subsektor tanaman pangan di Provinsi Jawa
Timur",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Implementasi teorema Bayes untuk manajemen antrian
berprioritas di Poliklinik Universitas Negeri Malang",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
